wavelength fwhm
440.6994141 0.012915
440.8080078 0.011161
440.8521973 0.015437
440.8879395 0.012713
440.9001953 0.012559
440.9349609 0.008349
441.1616211 0.015718
441.2025879 0.010888
441.2412598 0.009779
441.5452637 0.013120
441.5810059 0.014961
441.6203613 0.010853
442.0730957 0.017206
442.0811523 0.009499
442.2815430 0.010014
442.5991699 0.009026
443.2917480 0.008953
443.6016602 0.010552
444.5361328 0.012045
444.5589355 0.010741
444.6437012 0.017854
445.5632812 0.014348
445.8077637 0.011412
446.2764160 0.004553
446.7562988 0.007859
447.4900879 0.014112
448.4923340 0.010039
450.7689941 0.007475
452.8583496 0.008749
453.0512207 0.011224
453.0809082 0.016826
453.5112793 0.011437
453.5937012 0.012052
453.6170410 0.010939
453.6342285 0.010617
453.7088379 0.010978
453.8531250 0.013085
453.9291504 0.007970
453.9424316 0.008022
454.0146484 0.004975
454.1706055 0.013910
454.3243164 0.009817
454.3950195 0.007725
454.4342773 0.008012
455.3117188 0.042495
455.3610840 0.014659
456.4904785 0.014566
456.7954590 0.011152
457.6920898 0.009482
457.9720215 0.009754
458.0145996 0.012213
458.0427246 0.008296
458.1206055 0.008587
458.2471680 0.016196
458.2926758 0.008033
458.3318848 0.016976
458.5252441 0.008846
458.5696777 0.005770
458.6159668 0.009310
458.6933594 0.014300
458.9628906 0.015801
465.9597656 0.012567
466.0773438 0.010660
466.2054199 0.014027
466.2232422 0.009165
466.7342773 0.011500
466.7770996 0.012524
466.9002441 0.009099
466.9574707 0.011996
467.1997559 0.014060
467.2225586 0.014691
467.2576660 0.016669
467.4675293 0.011778
467.5020508 0.024190
467.5371582 0.009291
467.5757812 0.017397
467.8310059 0.009012
468.0696289 0.011080
468.1188965 0.005404
468.1588867 0.024251
471.1091797 0.011545
471.9392578 0.013139
481.1613770 0.004726
481.2447754 0.008493
481.8928711 0.010953
482.0578613 0.023124
482.1514160 0.017055
482.3903809 0.011890
482.4842285 0.012026
482.8053223 0.015302
482.8978027 0.015507
484.2511230 0.017831
484.7432129 0.007988
484.7898438 0.020032
486.1320312 0.014481
488.2649902 0.027405
488.3073730 0.012213
490.5089355 0.011354
491.0154297 0.013597
491.8405762 0.011606
493.1414551 0.008334
493.1870605 0.009481
493.6413574 0.011065
493.7806152 0.015714
494.7905273 0.011650
495.3348145 0.016667
495.3484863 0.011213
496.3242676 0.012236
496.6492676 0.012694
497.5405273 0.009748
497.7544922 0.010902
499.2328125 0.008847
499.5575195 0.009809
499.5954102 0.015490
500.4435059 0.012239
507.8846191 0.011002
509.1015625 0.010095
518.7403320 0.011098
518.7756348 0.012089
518.9260254 0.018323
518.9497559 0.011650
519.7928223 0.012188
520.0285645 0.012109
520.2979004 0.012004
520.8793457 0.013726
521.7390625 0.015009
522.4145020 0.012905
523.2152832 0.012994
523.8751953 0.016292
524.9880371 0.014466
